title	description	lv
Tent	+ 1 Shelter; 2 tents => 1 food per turn; 4 tents => 2 food per turn	5
Tent	+ 1 Shelter; 2 tents => 1 food per turn; 4 tents => 2 food per turn	7
Tent	+ 1 Shelter; 2 tents => 1 food per turn; 4 tents => 2 food per turn	11
Tent	+ 1 Shelter; 2 tents => 1 food per turn; 4 tents => 2 food per turn	3
Cave	+ 1 Shelter; 2 caves => 1 water per turn; 4 caves => 2 water per turn	4
Cave	+ 1 Shelter; 2 caves => 1 water per turn; 4 caves => 2 water per turn	8
Cave	+ 1 Shelter; 2 caves => 1 water per turn; 4 caves => 2 water per turn	10
Cave	+ 1 Shelter; 2 caves => 1 water per turn; 4 caves => 2 water per turn	12
Gather	+ 1 Food	2
Gather	+ 1 Food	3
Gather	+ 1 Food	6
Gather	+ 1 Food	7
Hunt	+ 2 Food; Cancelled if you try to hunt alone	 12
Hunt	+ 2 Food; Cancelled if you try to hunt alone	 10
Hunt	+ 2 Food; Cancelled if you try to hunt alone	 9
Hunt	+ 2 Food; Cancelled if you try to hunt alone	 5
Get Water From Stream	+ 2 Water	1
Get Water From Stream	+ 2 Water	4
Get Water From Stream	+ 2 Water	6
Get Water From Stream	+ 2 Water	10
Build Rain Catcher	+ 1 Water per turn	3
Build Rain Catcher	+ 1 Water per turn	6
Build Rain Catcher	+ 1 Water per turn	9
Build Rain Catcher	+ 1 Water per turn	11
Relax	+ 1 Leisure	1
Relax	+ 1 Leisure	4
Relax	+ 1 Leisure	8
Relax	+ 1 Leisure	12
Soup	- 1 Water; + 2 Food	3
Soup	- 1 Water; + 2 Food	11
Rain Catcher Tents	Remove 1 tent from play; + 3 Water	5
Rain Catcher Tents	Remove 1 tent from play; + 3 Water	8
Food Storage Caves 	Remove 1 cave from play; + 2 Food	3
Food Storage Caves	Remove 1 cave from play; + 2 Food	9
